#TYPE System.Management.Automation.PSCustomObject
"index","type","ip","name","status","time","rtt","count","downtime"
"12","icmp","10.20.10.20","Arena - Kiosk 3 - SSW10","40","2025-07-21 07:42:14","","6","2025-07-21 07:41:52"
"13","icmp","10.20.10.23","Arena - Deltagarservice - SSW13","40","2025-07-21 07:42:14","","6","2025-07-21 07:41:52"
"14","icmp","10.20.10.14","Arena - SporttÃ¤lt - SSW14","40","2025-07-21 07:42:15","","6","2025-07-21 07:41:53"
"15","icmp","10.20.10.25","Arena - MÃ¥l - Syd - SSW15","40","2025-07-21 07:42:15","","6","2025-07-21 07:41:53"
"16","icmp","10.20.10.26","Arena - Miniknat - SSW16","40","2025-07-21 07:42:16","","6","2025-07-21 07:41:54"
"17","icmp","10.20.10.30","Arena - MÃ¥l - SSW20","40","2025-07-21 07:42:16","","6","2025-07-21 07:41:54"
"18","icmp","10.20.10.12","Arena - Verifiering - SSW06","40","2025-07-21 07:42:17","","6","2025-07-21 07:41:55"
"19","icmp","10.20.10.12","Arena - Verifiering - SSW06","40","2025-07-21 07:42:17","","6","2025-07-21 07:41:55"
"20","icmp","10.20.10.12","Arena - Verifiering - SSW06","40","2025-07-21 07:42:18","","6","2025-07-21 07:41:56"
"37","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:42:22","","6","2025-07-21 07:42:00"
"2","icmp","10.20.10.21","Arena - Kiosk 1 - SSW11","40","2025-07-21 07:42:33","","7","2025-07-21 07:41:49"
"7","icmp","10.20.10.12","Arena - Verifiering - SSW02","40","2025-07-21 07:42:33","","7","2025-07-21 07:41:49"
"8","icmp","10.20.10.13","Arena - Kiosk - SSW03","40","2025-07-21 07:42:34","","7","2025-07-21 07:41:50"
"9","icmp","10.20.10.16","Arena - Verifiering - SSW06","40","2025-07-21 07:42:34","","7","2025-07-21 07:41:50"
"10","icmp","10.20.10.17","Arena - Kiosk 2 - SSW07","40","2025-07-21 07:42:35","","7","2025-07-21 07:41:51"
"11","icmp","10.20.10.18","Arena - MTBO - SSW08","40","2025-07-21 07:42:35","","7","2025-07-21 07:41:51"
"12","icmp","10.20.10.20","Arena - Kiosk 3 - SSW10","40","2025-07-21 07:42:36","","7","2025-07-21 07:41:52"
"13","icmp","10.20.10.23","Arena - Deltagarservice - SSW13","40","2025-07-21 07:42:36","","7","2025-07-21 07:41:52"
"14","icmp","10.20.10.14","Arena - SporttÃ¤lt - SSW14","40","2025-07-21 07:42:37","","7","2025-07-21 07:41:53"
"15","icmp","10.20.10.25","Arena - MÃ¥l - Syd - SSW15","40","2025-07-21 07:42:37","","7","2025-07-21 07:41:53"
"16","icmp","10.20.10.26","Arena - Miniknat - SSW16","40","2025-07-21 07:42:38","","7","2025-07-21 07:41:54"
"17","icmp","10.20.10.30","Arena - MÃ¥l - SSW20","40","2025-07-21 07:42:38","","7","2025-07-21 07:41:54"
"18","icmp","10.20.10.12","Arena - Verifiering - SSW06","40","2025-07-21 07:42:39","","7","2025-07-21 07:41:55"
"19","icmp","10.20.10.12","Arena - Verifiering - SSW06","40","2025-07-21 07:42:39","","7","2025-07-21 07:41:55"
"20","icmp","10.20.10.12","Arena - Verifiering - SSW06","40","2025-07-21 07:42:40","","7","2025-07-21 07:41:56"
"37","icmp","192.168.99.1","MTBO - Teltonika Router","40","2025-07-21 07:42:44","","7","2025-07-21 07:42:00"
